Did you respond to the sector survey on the National Lottery Heritage Fund website?:Response,Organisation Type:Response,What is the approximate number of paid employees (full time equivalent) at your business/organisation?:Response,What is the approximate number of volunteers working with your business/organisation?:Response,Area:Archaeology,Area:Archives,Area:Community heritage,Area:Conservation Architecture/Project Management,Area:Gardens and Landscapes,Area:Historic buildings (including industrial heritage sites),Area:Intangible (e.g. cultural traditions people’s memories dialects),Area:Maritime and transport heritage,Area:Places of worship,Area:Planning,Area:Public parks,Area:My organisation does not work in or represent any heritage areas,Area:Other,Geography:All English regions,Geography:East Midlands,Geography:West Midlands,Geography:East of England,Geography:London,Geography:South East of England,Geography:South West of England,Geography:North East of England,Geography:North West of England,Geography:Yorkshire and the Humber,Effects:Loss or postponement of work,Effects:Business-critical staff absence,Effects:Lack of available volunteers,Effects:Postponement/cancellation of planned income-generating or marketing events,Effects:Reduced opening/business hours,Effects:Supply chain problems,Effects:Increased overheads,Effects:Reduced visitor numbers,Effects:Have had to furlough staff,Effects:Have had to lay staff off,Effects:Additional costs e.g.  investment in IT/home working,Effects:Delayed payment by debtors,Measures expected:Coronavirus Job Retention Scheme,Measures expected:Deferring VAT and Self-Assessment payments,Measures expected:Self-employment Income Support Scheme,Measures expected:Statutory Sick Pay relief package for small and medium sized businesses (SMEs),Measures expected:12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Measures expected:Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Measures expected:Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Measures expected:Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Measures expected:Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,Measures expected:HMRC Time To Pay Scheme,Measures expected:Awaiting further clarification of the Government support,Continued operation if the current restrictions continue until September 2020 with measures:Response,Continued operation if the current restrictions continue until September 2020 without measures:Response,Level of risk:Response,Opportunities to work better:Response
No,Other (please specify),501+,Don’t know,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,,,,,All English regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,,,,,,,Self-employment Income Support Scheme,,,,,,,,Awaiting further clarification of the Government support,2-3 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Other (please specify),1-5,1-5,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,Increased overheads,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,HMRC Time To Pay Scheme,,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
Yes,Other (please specify),501+,Don’t know,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,,Planning,Public parks,,Other,,East Midlands,,,,,,,,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Other (please specify),21-50,0,,,Community heritage,,,Historic buildings (including industrial heritage sites),,,,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,Reduced visitor numbers,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,,,,,Don’t know,Don’t know,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),0 (entirely voluntary),6-10,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,,South West of England,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,,,,,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Other (please specify),501+,Don’t know,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,Public parks,,,,,,,,,,,,Yorkshire and the Humber,Loss or postponement of work,,,,,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Charity or third sector organisation with a heritage purpose (not for profit),0 (entirely voluntary),11-20,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,South East of England,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Community or voluntary group supporting a specific heritage-based project,0 (entirely voluntary),11-20,,Archives,Community heritage,,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,Places of worship,Planning,Public parks,,,,,,,,South East of England,,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Strongly disagree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),1-5,21-50,,,Community heritage,Conservation Architecture/Project Management,,,,,Places of worship,,,,,,,,East of England,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,,,,,,,,,,,Other,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,Delayed payment by debtors,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Strongly agree
No,Charity or third sector organisation with a heritage purpose (not for profit),0 (entirely voluntary),21-50,,,,,,Historic buildings (including industrial heritage sites),,,,,,,Other,,,,,,,,,North West of England,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,Delayed payment by debtors,,,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,,4-6 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
Yes,Other (please specify),1-5,101-500,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,Other,,,West Midlands,,London,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,Increased overheads,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,2-3 months,3-4 months,High risk – without major intervention our business/organisation is unlikely to survive,Disagree
Yes,Incorporated private sector organisation in the heritage sector,1-5,0,,,,,,,,,,Planning,,,Other,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,21-50,0,Archaeology,,Community heritage,,,Historic buildings (including industrial heritage sites),,,,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,Increased overheads,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,4-6 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,,,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,,South West of England,,,,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,,,Have had to lay staff off,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,Less than one month,Less than one month,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Sole trader or Partnership dealing in heritage products or services,6-10,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,,,,Other,,East Midlands,West Midlands,East of England,London,South East of England,South West of England,,,,Loss or postponement of work,,,,,Supply chain problems,Increased overheads,,,,Additional costs e.g.  investment in IT/home working,,,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,,,,,,1-2 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,Archaeology,Archives,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,,Awaiting further clarification of the Government support,3-4 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
